NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Carlton Carrington,Was,*,G,19.6,59,29.3,14.5,15.6,55,0.836,210,0.486,275,0.345,0.504,0.525,9.1,4,3.9,0.7,0.2,1.5,13.1,13,17,7.1,105.4,115.8
Dereck Lively II,Dal,*,C,21.1,32,24,13.7,18,69,0.638,177,0.701,0,0,0.701,0.704,9.1,7.8,2.6,0.5,1.7,1.2,17,11.8,19.6,9.5,138.3,103.5
Cam Whitmore,Hou,*,F,20.6,38,17,24.1,10.5,57,0.719,167,0.503,148,0.311,0.486,0.51,9.1,3.1,0.9,0.7,0.2,1,12.2,10,13.1,6.9,103.7,107.1
Anthony Black,Orl,*,G,21.1,57,24.5,19.1,18.9,153,0.752,306,0.467,136,0.294,0.459,0.511,9.1,2.8,3.2,1.1,0.5,1.8,11.9,12.4,15.2,7.1,101.4,105.1
Trendon Watford,Bro,*,G-F,24.3,24,17.9,24.3,18.3,59,0.797,130,0.508,44,0.295,0.491,0.545,9.1,3.1,2,0.6,0.3,1.6,12.2,11,14.2,8.6,102.6,104.6
Patrick Williams,Chi,*,F,23.5,45,26.2,16.9,13.4,65,0.769,185,0.4,202,0.351,0.466,0.494,9.1,4,2,0.8,0.6,1.3,13.2,11.2,15.2,6.4,98.1,116.3
Caleb Martin,Phi,*,F,29.4,31,30.4,14.3,15.6,74,0.622,145,0.469,87,0.379,0.506,0.531,9.1,4.4,2.3,1.1,0.6,1.4,13.5,11.3,15.7,5.9,107,113.9
Jaime Jaquez Jr.,Mia,*,G,24,49,22.3,19.7,16.9,122,0.77,265,0.494,94,0.298,0.482,0.533,9,4.6,2.6,1.1,0.2,1.5,13.6,11.6,16.2,8.5,107.6,108.5
Scotty Pippen Jr.,Mem,*,G,24.3,59,20,19.5,19.6,121,0.686,263,0.536,158,0.348,0.531,0.559,9,3.2,4.2,1.2,0.3,1.7,12.2,13.2,16.4,9.9,113.2,103
Killian Hayes,Bro,*,G,23.6,6,27.1,15.4,17.2,12,0.833,22,0.455,21,0.381,0.512,0.559,9,3,5.2,0.7,0.7,1.5,12,14.2,17.2,7.7,119.1,112.5
Clint Capela,Atl,*,C,30.8,50,21.8,16.5,11.5,91,0.538,354,0.568,1,0,0.566,0.571,9,8.7,1.2,0.6,0.9,0.9,17.7,10.2,18.9,8.3,118.7,107.3
Chris Paul,San,*,G,39.8,58,28.7,14,17.2,81,0.938,146,0.507,278,0.356,0.525,0.567,9,3.8,8,1.3,0.2,1.5,12.8,17,20.8,9,126,111.9
Nick Richards,Cha,,C,27.3,21,21,17.8,22.4,87,0.678,113,0.566,1,0,0.561,0.614,8.9,7.5,1.3,0.3,1.2,1.6,16.4,10.2,17.8,8.4,115.4,104.4
Aaron Nesmith,Ind,*,G-F,25.4,23,22.2,15.5,11.4,39,0.923,75,0.587,72,0.375,0.575,0.624,8.9,3.7,1.4,0.6,0.4,0.8,12.6,10.3,14,6.5,120.4,107.7
Wendell Carter Jr.,Orl,*,C-F,25.9,48,25.4,16,13.8,129,0.713,236,0.572,102,0.206,0.493,0.538,8.9,7.5,2.2,0.8,0.5,1.1,16.3,11,18.5,8.3,113.5,99.9
Yves Missi,Nor,*,C,20.8,57,27,13.9,15.3,144,0.639,376,0.543,1,0,0.541,0.568,8.8,8.2,1.3,0.5,1.4,1.2,17,10.1,18.3,6.7,117.9,114
Dalton Knecht,Lal,*,F,23.9,55,19.7,17.7,6.6,63,0.794,146,0.616,237,0.354,0.564,0.587,8.8,2.9,0.8,0.4,0.1,0.5,11.6,9.6,12.4,5.5,115.7,110.9
Kelly Olynyk,Nor,*,F-C,33.9,4,24.6,17.9,21.4,11,0.818,20,0.5,9,0.222,0.448,0.517,8.8,9.3,3.3,0.3,0.3,2,18,12,21.3,10.5,107.1,106.5
Draymond Green,Gol,*,F,35,46,28.6,15.7,25.2,103,0.65,181,0.514,155,0.329,0.504,0.532,8.8,5.9,5.7,1.3,1.1,2.5,14.7,14.5,20.4,9.3,106.8,103.4
Nick Smith Jr.,Cha,*,G,20.9,40,21.2,20.4,12.2,20,0.9,163,0.46,188,0.319,0.47,0.484,8.7,2,2.1,0.4,0.2,1.2,10.7,10.8,12.7,6.3,97,115.2
Georges Niang,Cle,,F,31.7,51,20.7,16.5,12.1,29,0.793,123,0.618,225,0.4,0.606,0.617,8.7,3.7,1.3,0.3,0.1,0.9,12.4,10,13.7,6.7,116.5,102.8
Marcus Smart,Mem,,G,31,19,21.1,19.8,19.1,36,0.833,58,0.414,90,0.322,0.456,0.504,8.7,2.3,3.7,1.2,0.3,1.8,10.9,12.4,14.7,8,104.8,109.7
Quinten Post,Gol,*,C,24.9,22,15.3,20.7,10,15,0.933,55,0.582,89,0.416,0.608,0.627,8.6,3.8,1.5,0.4,0.3,0.7,12.4,10.1,14,9.6,123.1,102.5
Kel'el Ware,Mia,*,C,20.9,43,20.1,17.6,11.1,46,0.739,209,0.612,78,0.346,0.587,0.604,8.6,6.4,0.9,0.6,1,0.8,15,9.5,15.9,7.3,117.5,106
Dalano Banton,Por,*,F,25.3,47,15.5,25.2,15.1,93,0.71,188,0.463,149,0.369,0.503,0.536,8.6,1.9,2.2,0.7,0.5,1.3,10.5,10.8,12.7,8.5,106.3,114.8
Max Strus,Cle,*,G-F,28.9,30,24.7,14.4,11.8,13,0.846,43,0.605,173,0.376,0.572,0.582,8.6,4.2,3.1,0.6,0.3,1,12.8,11.7,15.9,7.8,121.9,107.1
Jusuf Nurkic,Pho,,C,30.5,25,23.7,18.7,25.9,69,0.696,104,0.529,59,0.322,0.512,0.556,8.6,9.2,1.9,0.9,0.6,2.3,17.8,10.5,19.6,9,101.1,100.7
Max Christie,Lal,,G,22.1,46,25.1,13.9,11.9,87,0.851,125,0.544,163,0.368,0.549,0.598,8.5,2.7,1.4,0.8,0.5,0.8,11.2,9.9,12.6,5.1,116.6,111.6
Day'Ron Sharpe,Bro,*,C,23.3,38,17.8,21.3,17.6,66,0.773,212,0.575,36,0.25,0.546,0.581,8.5,6.6,1.8,0.8,0.8,1.4,15,10.3,16.8,10.5,116.8,100.8
Larry Nance Jr.,Atl,*,F-C,32.2,24,19.3,15.6,9.3,13,0.692,79,0.582,76,0.447,0.626,0.632,8.5,4.3,1.6,0.8,0.5,0.7,12.8,10,14.3,8,123.2,109.5
GG Jackson,Mem,*,F,20.2,17,15.8,22.5,13.7,32,0.719,60,0.5,59,0.339,0.504,0.537,8.4,3.1,1,0.4,0.2,1.1,11.5,9.4,12.5,7.5,105.8,110.5
Jaylen Nowell,Nor,*,G,25.6,8,21,21.5,9.8,11,0.636,46,0.391,27,0.296,0.411,0.43,8.4,2.5,2.3,0.1,0.5,1,10.9,10.6,13.1,6.9,94.1,120.5
Kevin Porter Jr.,Mil,*,G-F,24.8,8,15.1,26.4,21.4,18,0.833,44,0.523,7,0.286,0.51,0.569,8.4,2.3,2.4,1.6,0,1.8,10.6,10.8,13,9.5,103.1,102.7
Terance Mann,Atl,*,G-F,28.4,8,21.6,13.8,15.3,14,0.429,25,0.56,19,0.579,0.693,0.668,8.4,2.9,2.3,0.6,0,1,11.3,10.6,13.5,7.1,126.4,111.3
Bruce Brown,Tor,,G-F,28.5,18,19.6,19.5,12.6,29,0.897,95,0.484,36,0.306,0.477,0.525,8.4,3.8,1.6,0.9,0.2,1.1,12.2,9.9,13.7,7.6,105.6,111.6
Kentavious Caldwell-Pope,Orl,*,G,32,58,30.1,12.4,9.9,76,0.868,161,0.578,258,0.306,0.505,0.54,8.4,2.1,1.7,1.4,0.5,0.8,10.5,10.2,12.2,4.1,109.9,108.6
Jonas Valanciunas,Sac,*,C,32.8,9,16,19.6,13.7,19,0.789,48,0.604,2,0.5,0.61,0.651,8.4,6.1,1.2,0.8,0.8,0.9,14.6,9.7,15.8,9.9,131.5,95.8
Damion Baugh,Cha,*,G,24.6,6,25.9,18.4,20.5,10,0.9,24,0.417,26,0.269,0.41,0.46,8.3,3.2,3.7,2,0.2,2.2,11.5,12,15.2,7.1,94.5,112.3
Jalen Smith,Chi,*,F-C,25,52,15,21,8.9,73,0.836,144,0.632,183,0.344,0.567,0.601,8.3,5.4,0.9,0.3,0.7,0.6,13.7,9.2,14.7,9.1,120.8,107.3
Goga Bitadze,Orl,*,C-F,25.6,50,23,14.5,17.9,97,0.639,260,0.669,20,0.1,0.632,0.645,8.3,7.7,2.1,0.8,1.6,1.2,16,10.4,18.1,8.9,125,101.4
Jusuf Nurkic,Cha,*,C,30.5,5,19.1,21.4,22.6,10,0.7,20,0.7,14,0.143,0.5,0.534,8.2,8.6,4.6,1.4,1.2,2,16.8,12.8,21.4,14.4,110.9,98.1
Kyshawn George,Was,*,F,21.2,53,26.6,15.2,15.9,69,0.754,132,0.447,275,0.313,0.462,0.489,8.1,4,2.4,0.9,0.7,1.5,12.1,10.5,14.5,6.4,97.4,111.4
Peyton Watson,Den,*,G,22.5,48,24.2,14,12.6,101,0.752,203,0.532,94,0.34,0.525,0.568,8.1,3.4,1.5,0.9,1.2,0.9,11.5,9.6,13,5.7,114,111.9
Keon Ellis,Sac,*,G,25.1,57,22.5,13,13.1,62,0.855,97,0.588,220,0.45,0.648,0.674,8.1,2.5,1.2,1.4,0.8,0.8,10.7,9.4,11.9,5.1,125.8,109.2
Brandon Clarke,Mem,*,F,28.4,55,18.8,14.9,9.8,68,0.676,305,0.646,17,0.059,0.616,0.629,8.1,5,1,0.8,0.5,0.6,13.1,9.1,14.1,7.3,128.2,102.7
Mike Conley,Min,*,G,37.4,52,25,14.6,13.3,71,0.915,114,0.342,238,0.391,0.507,0.551,8.1,2.5,4.6,1.2,0.2,1,10.7,12.7,15.2,7.3,122.1,109.5
Tyrese Martin,Bro,*,F,26,42,20.9,18.7,14.6,44,0.773,118,0.483,186,0.339,0.498,0.521,8,3.7,1.6,0.5,0.1,1.2,11.7,9.6,13.3,6.9,102.3,114.6
Jaden Hardy,Dal,*,G,22.7,45,15.1,24.9,17.2,61,0.672,160,0.469,147,0.381,0.518,0.538,8,1.5,1.4,0.5,0.1,1.4,9.5,9.4,10.9,6.8,96.9,108.9
Taurean Prince,Mil,*,F,30.9,58,26.2,12.4,13.9,31,0.839,121,0.463,238,0.454,0.607,0.62,8,3.8,2,0.8,0.1,1,11.7,10,13.8,6,116,108
Dennis Schroder,Det,*,G,31.5,8,18.8,21.7,17.3,19,0.842,30,0.4,27,0.296,0.421,0.49,8,2.4,4.6,0.4,0.3,1.5,10.4,12.6,15,9.5,108.5,109.4
Justin Edwards,Phi,*,F,21.2,27,23.7,14.3,11,19,0.632,73,0.603,104,0.365,0.571,0.577,7.9,3,1.4,0.8,0.3,0.8,10.9,9.3,12.3,5.4,113.6,111.2
Bol Bol,Pho,*,C-F,25.3,24,13.4,21.9,10,24,0.75,65,0.738,69,0.362,0.638,0.654,7.9,3.1,0.5,0.2,1,0.6,11,8.4,11.5,6.9,118.4,116.3
Kevin Huerter,Sac,,G-F,26.5,43,20.9,17,10.7,28,0.714,105,0.629,205,0.302,0.513,0.524,7.9,2.8,1.7,0.8,0.4,0.9,10.7,9.6,12.4,6.4,105.5,110.4
Al Horford,Bos,*,C-F,38.7,47,26.8,12.9,8.8,18,0.889,98,0.52,233,0.361,0.535,0.546,7.9,5.6,1.9,0.6,0.9,0.7,13.4,9.7,15.3,6.5,116.7,108.6
Tristan da Silva,Orl,*,F,23.8,57,23.8,15,10.8,54,0.852,197,0.513,199,0.332,0.505,0.531,7.8,3.6,1.6,0.5,0.2,0.8,11.4,9.4,13,6,109.7,109.8
Tre Jones,Chi,*,G,25.1,8,16.1,16.5,4.4,13,1,35,0.571,8,0.375,0.57,0.636,7.8,1.9,2.3,1,0.1,0.3,9.6,10,11.9,8.1,139.5,116.9
Cody Martin,Cha,*,F,29.4,39,24.8,14.5,13.5,49,0.694,144,0.528,124,0.323,0.507,0.528,7.8,4.5,2.3,1.1,0.7,1.1,12.4,10.1,14.6,7,108.9,110
Thomas Bryant,Ind,*,C-F,27.6,32,16.1,17.8,8.5,29,0.759,110,0.673,72,0.361,0.621,0.637,7.8,4.4,1.3,0.6,0.5,0.5,12.2,9.1,13.5,8.8,131.3,110.5
A.J. Green,Mil,*,G,25.4,52,22.6,13,7.9,21,0.905,46,0.457,268,0.422,0.607,0.619,7.7,2.3,1.3,0.5,0.1,0.5,10,9,11.3,5,118.9,107.2
Josh Green,Cha,*,G,24.3,54,28.6,11.4,13.3,57,0.667,141,0.482,198,0.404,0.555,0.569,7.7,2.7,1.6,1.1,0.2,1,10.4,9.2,11.9,4.5,111.6,111.1
Lonzo Ball,Chi,*,G,27.3,35,22.2,15.9,14.4,27,0.815,48,0.458,195,0.344,0.504,0.524,7.6,3.4,3.3,1.3,0.5,1.2,11,10.9,14.3,7.9,108.9,112.3
Ja'Kobe Walter,Tor,*,G,20.5,41,19.5,18,10.7,55,0.709,154,0.487,129,0.302,0.472,0.498,7.5,2.8,1.3,0.7,0.2,0.8,10.2,8.8,11.5,6.2,102.4,111.7
Cason Wallace,Okc,*,G,21.3,51,27.4,12.2,9.9,19,0.789,197,0.548,156,0.327,0.523,0.531,7.5,3.5,2.4,1.7,0.5,0.8,11,10,13.4,5.8,114.6,103.3
Trayce Jackson-Davis,Gol,*,F,25,50,18.2,16.6,12.7,86,0.605,280,0.575,1,0,0.573,0.587,7.5,5.8,1.9,0.4,0.7,0.8,13.3,9.4,15.2,9.6,123.3,107.5
Sam Hauser,Bos,*,F,27.2,51,20.5,13.7,5.5,4,1,45,0.667,263,0.403,0.614,0.617,7.5,3,1,0.6,0.2,0.4,10.5,8.5,11.5,5.5,124.9,109
Justin Champagnie,Was,*,G-F,23.7,40,18.3,16.1,13.3,43,0.674,119,0.622,109,0.376,0.594,0.607,7.5,4.6,0.9,0.9,0.7,0.9,12.1,8.4,13,6.9,115.7,111.3
Garrison Mathews,Atl,*,G,28.4,43,17.7,16,10.9,76,0.829,35,0.429,201,0.383,0.553,0.601,7.5,1.8,1.3,0.6,0.3,0.7,9.4,8.8,10.7,5.9,118,110.5
Richaun Holmes,Was,*,F,31.4,22,17.7,13.6,16.8,45,0.844,86,0.733,3,0,0.708,0.754,7.5,5.5,1.4,0.2,0.8,0.8,12.9,8.8,14.3,8.7,141.6,111.9
Vasilije Micic,Cha,*,G,31.1,36,21.2,20.2,21.3,41,0.829,148,0.338,125,0.36,0.43,0.462,7.5,2.4,3.5,0.4,0,2.1,9.9,11,13.4,7.5,93.3,115.2
Johnny Juzang,Uta,*,G,24,42,17.6,16.5,6.9,33,0.818,75,0.507,181,0.381,0.553,0.573,7.4,2.6,0.9,0.5,0.1,0.5,10,8.3,10.9,5.9,118.5,112
Jared Butler,Phi,*,G,24.5,5,13.8,28.7,16.5,7,0.857,21,0.524,14,0.214,0.443,0.486,7.4,2.4,3.8,0.6,0.4,1.4,9.8,11.2,13.6,11.8,105.1,110.2
Shake Milton,Bro,,G,28.4,27,18.2,17,11.3,33,0.758,85,0.529,72,0.389,0.554,0.58,7.4,1.9,2.4,0.6,0,0.7,9.3,9.7,11.6,7.1,119.8,111.6
Jake LaRavia,Mem,,F,23.3,47,20.9,14.3,22.2,96,0.698,151,0.517,90,0.444,0.573,0.605,7.3,4.4,2.8,0.9,0.4,1.5,11.7,10.1,14.5,8.6,118,106.5
Bones Hyland,Lac,*,G,24.5,20,11.1,29,17.3,26,0.885,34,0.412,80,0.388,0.531,0.574,7.2,1.2,1.4,0.9,0.2,1.2,8.4,8.6,9.8,8.3,105.8,100.4
KJ Simpson,Cha,*,G,22.6,23,20.4,20.2,15.4,37,0.811,102,0.422,74,0.216,0.381,0.426,7.1,2.9,2.6,0.8,0.2,1.4,10,9.7,12.6,7.4,94.5,112.2
Kyle Filipowski,Uta,*,C,21.3,49,18.6,16,18.6,80,0.6,150,0.613,104,0.375,0.593,0.603,7.1,5,1.9,0.6,0.1,1.2,12.1,9,14,8.8,115.6,108.5
Isaiah Collier,Uta,*,G,20.4,51,24.1,18.2,29.3,70,0.614,237,0.489,119,0.244,0.448,0.468,7.1,3.1,6.2,0.8,0.2,2.9,10.2,13.3,16.4,8.5,95.7,113.9
Jay Huff,Mem,*,C,27.5,48,12.1,19.3,10.8,48,0.771,77,0.727,153,0.418,0.661,0.679,7.1,2,0.6,0.2,0.9,0.6,9.1,7.7,9.8,6.8,126.5,106.7
Cameron Payne,Nyk,*,G,30.6,53,14.5,21.1,9.6,46,0.891,131,0.481,189,0.37,0.525,0.554,7.1,1.4,2.7,0.6,0.2,0.6,8.5,9.8,11.2,8.3,119.1,107.7
Kelly Olynyk,Tor,,F-C,33.9,24,16,19,22.8,43,0.791,75,0.533,43,0.442,0.581,0.624,7.1,3.7,2.3,0.7,0.3,1.5,10.8,9.5,13.2,9.8,114.4,102
Isaiah Jackson,Ind,*,F,23.1,5,16.8,17.6,17.7,14,0.5,23,0.609,0,0,0.609,0.6,7,5.6,1,0.6,1.6,1,12.6,8,13.6,8.1,119.1,98.8
Sam Merrill,Cle,*,G,28.8,50,19.3,14.7,7.2,28,0.964,39,0.641,258,0.353,0.544,0.566,7,2,1.5,0.7,0.2,0.5,9,8.5,10.5,5.7,119.7,106.8
Andre Drummond,Phi,*,C,31.6,35,18.4,19,22,82,0.61,175,0.549,13,0.077,0.519,0.547,7,7.6,0.8,1,0.4,1.5,14.6,7.8,15.4,7.6,106.1,100.4
Vit Krejci,Atl,*,G,24.7,39,20.8,13.3,14,30,0.667,69,0.58,146,0.384,0.577,0.587,6.9,2.7,2.7,0.7,0.5,0.9,9.6,9.6,12.3,7.1,116.6,110.3
Jared Butler,Was,,G,24.5,32,11.3,26,14.1,45,0.778,135,0.519,41,0.366,0.526,0.562,6.9,1.3,2.6,0.4,0.2,0.9,8.2,9.4,10.7,10.1,114.6,113.4
Precious Achiuwa,Nyk,*,F,25.5,38,22.3,13.5,12.8,50,0.62,183,0.557,28,0.321,0.547,0.562,6.9,5.9,1.1,0.9,0.8,0.8,12.8,8,13.9,6.4,118.3,109.1
Torrey Craig,Chi,,F,34.2,9,12.5,17.3,0,4,0.75,10,0.7,35,0.429,0.656,0.663,6.9,2.8,0.6,0.2,0.1,0,9.7,7.4,10.2,7.2,137.3,107.2
Ben Simmons,Lac,*,G-F,28.6,5,21.1,11.9,7.6,7,0.857,24,0.583,0,0,0.583,0.628,6.8,5.2,5,1.4,0.6,0.4,12,11.8,17,10.6,149.2,99.7
Eric Gordon,Phi,*,G,36.2,39,19.7,14.5,12.1,48,0.75,67,0.463,137,0.409,0.564,0.591,6.8,1.2,1.7,0.7,0.3,0.7,8,8.5,9.7,4.9,115.9,118.5
Matas Buzelis,Chi,*,F,20.4,58,15.9,18.1,11.1,62,0.823,170,0.518,159,0.34,0.514,0.546,6.7,2.9,0.7,0.3,0.8,0.7,9.6,7.4,10.3,6,104.9,111.7
Elfrid Payton,Nor,,G,31,7,20.5,19.6,30.2,2,0.5,45,0.511,1,0,0.5,0.501,6.7,3.4,6.9,1.4,0.4,2.9,10.1,13.6,17,10.5,99.9,113.6
Dorian Finney-Smith,Lal,*,F,31.8,23,26.3,10.8,14.3,7,0.857,36,0.639,89,0.371,0.58,0.589,6.6,3.5,1.3,1,0.1,0.9,10,7.9,11.4,4.7,113.7,110.2
Ajay Mitchell,Okc,*,G,22.7,34,16.5,15.8,14.3,33,0.848,116,0.543,51,0.431,0.575,0.606,6.5,2,1.7,0.7,0.1,0.8,8.4,8.1,10.1,6.8,117.9,102.2
Haywood Highsmith,Mia,*,F,28.2,51,23.9,11.2,11.9,30,0.7,105,0.59,155,0.4,0.596,0.606,6.5,3.2,1.3,0.9,0.6,0.7,9.6,7.8,11,5,118,108.3
KJ Martin,Phi,,F,24.2,24,20,11.4,10.8,29,0.828,78,0.679,21,0.381,0.657,0.689,6.4,3,0.8,0.5,0.7,0.5,9.4,7.2,10.2,5,133.7,107.4
Vince Williams Jr.,Mem,*,G,24.5,10,16.3,19.7,18.8,15,0.667,32,0.5,28,0.25,0.442,0.473,6.3,3.8,2,0.6,0.2,1.4,10.1,8.3,12.1,8.9,98.6,103.9
Dru Smith,Mia,*,G,27.2,14,19.2,13.8,21.7,13,0.769,31,0.484,30,0.533,0.639,0.659,6.3,2.6,1.6,1.5,0.4,1.2,8.9,7.9,10.5,6.2,115.8,103.1
Davion Mitchell,Tor,,G,26.5,44,24.6,13.3,24.2,37,0.676,127,0.504,117,0.359,0.52,0.536,6.3,2,4.6,0.7,0.2,1.8,8.3,11,12.9,6.3,105.2,111.5
Ronald Holland II,Det,*,F,19.7,61,15.7,17.9,14,80,0.8,194,0.593,124,0.234,0.498,0.539,6.2,2.7,0.9,0.6,0.1,0.9,8.9,7.1,9.8,6.3,104.4,104.1
Ricky Council IV,Phi,*,G,23.6,50,14.2,19.6,10,82,0.817,141,0.504,111,0.297,0.478,0.535,6.2,2.2,1.1,0.5,0.1,0.6,8.4,7.3,9.5,6.9,111.9,114.9
Ben Simmons,Bro,,G-F,28.6,33,25,14.3,34.1,26,0.692,170,0.547,0,0,0.547,0.562,6.2,5.2,6.9,0.8,0.5,2.7,11.4,13.1,18.3,9.7,108.4,107.2
Seth Curry,Cha,*,G,34.5,49,14.5,16.1,8.1,25,0.8,110,0.491,128,0.453,0.592,0.606,6.2,1.6,0.7,0.5,0.1,0.4,7.7,6.8,8.4,5.3,118.7,114.1
Alec Burks,Mia,*,G,33.6,33,17,14.9,8.2,40,0.775,45,0.378,112,0.411,0.548,0.581,6.2,2.6,1.1,0.6,0.2,0.4,8.8,7.2,9.8,6.1,117.6,112.4
Simone Fontecchio,Det,*,F,29.2,54,17.3,16.2,13.5,72,0.833,112,0.482,170,0.318,0.479,0.526,6.1,3,0.9,0.4,0.2,0.8,9.1,7,10,5.9,105.5,109.9
Jordan Goodwin,Lal,*,G,26.4,8,16.9,15.4,13,3,0.667,24,0.667,16,0.313,0.588,0.593,6.1,3.8,1,1.3,0.3,0.8,9.9,7.1,10.9,6.7,117.5,104.8
Jaxson Hayes,Lal,*,C-F,24.8,37,18.5,11.7,16.4,56,0.714,130,0.708,2,0,0.697,0.715,6.1,4.3,1.1,0.6,1,0.7,10.4,7.1,11.4,6.6,135.4,103.1
Alex Caruso,Okc,*,G,31,37,19.3,14.1,9.9,16,0.813,86,0.512,122,0.344,0.514,0.528,6.1,2.8,2.7,1.7,0.5,0.6,9,8.8,11.6,7.4,117.9,99
Kris Dunn,Lac,*,G,31,52,23.5,12.9,15.3,16,0.563,151,0.536,153,0.32,0.508,0.511,6.1,3.7,3,1.8,0.3,1.1,9.8,9.1,12.8,6.9,108.7,100.4
Trey Lyles,Sac,*,F,29.3,48,18.4,14.5,9.3,49,0.714,84,0.512,169,0.343,0.514,0.537,6.1,4.4,1,0.6,0.4,0.5,10.5,7.1,11.5,6.5,113.3,110.5
Lamar Stevens,Mem,*,F,27.6,1,15.8,17.4,0,2,1,4,0.5,2,0,0.333,0.436,6,4,0,0,0,0,10,6,10,0,106,110.6
Mitchell Robinson,Nyk,*,C-F,26.9,1,12.4,14,0,0,0,4,0.75,0,0,0.75,0.75,6,5,1,0,0,0,11,7,12,10,161.1,105.9
Ryan Dunn,Pho,*,F,22.1,54,17.7,15.7,7.3,25,0.44,144,0.576,161,0.304,0.513,0.513,6,3.1,0.8,0.4,0.5,0.4,9.1,6.8,9.9,5.6,106.3,108.9
David Roddy,Phi,*,F,23.9,3,9.5,30.8,5,0,0,8,0.75,11,0.182,0.474,0.474,6,3,1,0.7,0,0.3,9,7,10,11,101.6,111
Isaiah Wong,Cha,*,G,24.1,20,13.3,22,14.6,34,0.735,72,0.389,33,0.394,0.452,0.5,6,1.6,1.4,0.6,0,0.9,7.6,7.4,9,7.2,102.9,112
Wendell Moore Jr.,Cha,*,G,23.5,4,18.6,16.7,14.1,3,0.667,18,0.444,6,0.333,0.458,0.474,6,3.5,0.3,0.3,0,1,9.5,6.3,9.8,4,95.5,113.1
James Wiseman,Ind,*,C,23.9,1,4.6,46,0,2,1,3,0.667,1,0,0.5,0.615,6,1,0,0,0,0,7,6,7,0,123.7,119.2
Terance Mann,Lac,,G-F,28.4,37,19.8,13.8,11.3,32,0.719,120,0.508,75,0.347,0.513,0.533,6,2.9,1.6,0.8,0.3,0.7,8.9,7.6,10.5,6.1,112.1,105.4
Josh Okogie,Pho,,G,26.5,25,14,18.1,12.3,32,0.688,72,0.556,42,0.381,0.561,0.586,6,2.9,0.6,0.8,0.4,0.6,8.9,6.6,9.4,6.2,115.7,112
Jamal Shead,Tor,*,G,22.6,54,17.4,17.6,22.3,35,0.743,165,0.485,128,0.344,0.498,0.516,5.9,1.2,3.6,0.5,0.1,1.6,7.1,9.5,10.7,6.8,101,111.3
